M,D,W,L,WIN,DRAW,VS_TEAM,HOME_AWAY,PLAY_GROUND
3,23,7,5,1,0,KIWOOM,H,KWANGJU
3,24,0,0,0,1,KIWOOM,H,KWANGJU
3,26,2,1,1,0,LOTTE,H,KWANGJU
3,27,8,2,1,0,LOTTE,H,KWANGJU
3,28,0,0,0,1,LOTTE,H,KWANGJU
3,29,4,2,1,0,DOOSAN,A,JAMSIL
3,30,0,8,0,0,DOOSAN,A,JAMSIL
3,31,9,3,1,0,DOOSAN,A,JAMSIL
4,2,6,10,0,0,KT,A,SUWON
4,3,5,1,1,0,KT,A,SUWON
4,4,6,3,1,0,KT,A,SUWON
4,5,5,2,1,0,SAMSUNG,H,KWANGJU
4,6,4,7,0,0,SAMSUNG,H,KWANGJU
4,7,3,7,0,0,SAMSUNG,H,KWANGJU
4,9,7,2,1,0,LG,H,KWANGJU
4,10,5,4,1,0,LG,H,KWANGJU
4,11,8,4,1,0,LG,H,KWANGJU
4,12,8,4,1,0,HANHWA,A,TAEJEON
4,13,11,9,1,0,HANHWA,A,TAEJEON
4,14,5,2,1,0,HANHWA,A,TAEJEON
4,16,4,6,0,0,SSG,A,INCHEON
4,17,11,3,1,0,SSG,A,INCHEON
4,18,5,7,0,0,SSG,A,INCHEON
4,19,4,3,1,0,NC,H,KWANGJU
4,20,9,2,1,0,NC,H,KWANGJU
4,21,4,15,0,0,NC,H,KWANGJU
4,23,5,2,1,0,KIWOOM,A,GOCHEOK
4,24,6,4,1,0,KIWOOM,A,GOCHEOK
4,25,13,2,1,0,KIWOOM,A,GOCHEOK
4,26,6,7,0,0,LG,A,JAMSIL
4,27,3,6,0,0,LG,A,JAMSIL
4,28,10,7,1,0,LG,A,JAMSIL
4,30,4,11,0,0,KT,H,KWANGJU
5,1,9,1,1,0,KT,H,KWANGJU
5,2,5,12,0,0,KT,H,KWANGJU
5,3,2,4,0,0,HANHWA,H,KWANGJU
5,4,10,2,1,0,HANHWA,H,KWANGJU
5,5,0,0,0,1,HANHWA,H,KWANGJU
5,7,0,0,0,1,SAMSUNG,A,DAEGU
5,8,4,2,1,0,SAMSUNG,A,DAEGU
5,9,2,5,0,0,SAMSUNG,A,DAEGU
5,10,2,4,0,0,SSG,H,KWANGJU
5,11,0,0,0,1,SSG,H,KWANGJU
5,12,3,2,1,0,SSG,H,KWANGJU
5,12,6,10,0,0,SSG,H,KWANGJU
5,14,5,8,0,0,DOOSAN,H,KWANGJU
5,15,8,4,1,0,DOOSAN,H,KWANGJU
5,16,7,7,0,1,DOOSAN,H,KWANGJU
5,17,7,4,1,0,NC,A,CHANGWON
5,18,7,2,1,0,NC,A,CHANGWON
5,19,2,1,1,0,NC,A,CHANGWON
5,21,1,6,0,0,LOTTE,A,BUSAN
5,22,2,4,0,0,LOTTE,A,BUSAN
5,23,6,10,0,0,LOTTE,A,BUSAN
5,24,5,7,0,0,DOOSAN,H,KWANGJU
5,25,6,2,1,0,DOOSAN,H,KWANGJU
5,26,5,2,1,0,DOOSAN,H,KWANGJU
5,28,11,8,1,0,NC,A,CHANGWON
5,29,6,3,1,0,NC,A,CHANGWON
5,30,11,2,1,0,NC,A,CHANGWON
5,31,5,8,0,0,KT,H,KWANGJU
6,1,4,2,1,0,KT,H,KWANGJU
6,2,3,11,0,0,KT,H,KWANGJU
6,4,0,6,0,0,LOTTE,H,KWANGJU
6,5,3,9,0,0,LOTTE,H,KWANGJU
6,6,5,4,1,0,LOTTE,H,KWANGJU
6,7,5,6,0,0,DOOSAN,A,JAMSIL
6,8,8,9,0,0,DOOSAN,A,JAMSIL
6,9,8,2,1,0,DOOSAN,A,JAMSIL
6,11,6,7,0,0,SSG,A,INCHEON
6,12,13,7,1,0,SSG,A,INCHEON
6,13,1,7,0,0,SSG,A,INCHEON
6,14,11,1,1,0,KT,A,SUWON
6,15,2,1,1,0,KT,A,SUWON
6,16,3,1,1,0,KT,A,SUWON
6,18,11,4,1,0,LG,H,KWANGJU
6,19,5,7,0,0,LG,H,KWANGJU
6,20,6,5,1,0,LG,H,KWANGJU
6,21,8,3,1,0,HANHWA,H,KWANGJU
6,22,0,0,0,1,HANHWA,H,KWANGJU
6,23,8,9,0,0,HANHWA,H,KWANGJU
6,23,4,1,1,0,HANHWA,H,KWANGJU
6,25,15,15,0,1,LOTTE,A,BUSAN
6,26,4,6,0,0,LOTTE,A,BUSAN
6,27,2,11,0,0,LOTTE,A,BUSAN
6,28,6,17,0,0,KIWOOM,H,KWANGJU
6,29,0,0,0,1,KIWOOM,H,KWANGJU
6,30,0,0,0,1,KIWOOM,H,KWANGJU
7,2,9,5,1,0,SAMSUNG,A,DAEGU
7,3,6,4,1,0,SAMSUNG,A,DAEGU
7,4,8,3,1,0,SAMSUNG,A,DAEGU
7,9,11,4,1,0,LG,A,JAMSIL
7,10,5,2,1,0,LG,A,JAMSIL
7,11,4,2,1,0,LG,A,JAMSIL
7,12,6,14,0,0,SSG,H,KWANGJU
7,13,9,15,0,0,SSG,H,KWANGJU
7,14,13,4,1,0,SSG,H,KWANGJU
7,16,0,0,0,1,SAMSUNG,H,KWANGJU
7,17,10,5,1,0,SAMSUNG,H,KWANGJU
7,18,10,4,1,0,SAMSUNG,H,KWANGJU
7,19,7,3,1,0,HANHWA,A,TAEJEON
7,20,8,4,1,0,HANHWA,A,TAEJEON
7,21,8,7,1,0,HANHWA,A,TAEJEON
7,23,8,1,1,0,NC,H,KWANGJU
7,24,7,0,1,0,NC,H,KWANGJU
7,25,4,7,0,0,NC,H,KWANGJU
7,26,4,5,0,0,KIWOOM,A,GOCHEOK
7,27,5,6,0,0,KIWOOM,A,GOCHEOK
7,28,4,3,1,0,KIWOOM,A,GOCHEOK
7,30,7,12,0,0,DOOSAN,H,KWANGJU
7,31,6,30,0,0,DOOSAN,H,KWANGJU
8,1,0,1,0,0,DOOSAN,H,KWANGJU
8,2,3,10,0,0,HANHWA,A,TAEJEON
8,3,7,3,1,0,HANHWA,A,TAEJEON
8,4,0,0,0,1,HANHWA,A,TAEJEON
8,6,2,0,1,0,KT,H,KWANGJU
8,7,2,13,0,0,KT,H,KWANGJU
8,8,0,1,0,0,KT,H,KWANGJU
8,9,8,9,0,0,SAMSUNG,H,KWANGJU
8,10,0,0,0,1,SAMSUNG,H,KWANGJU
8,11,4,5,0,0,SAMSUNG,H,KWANGJU
8,13,2,0,1,0,KIWOOM,A,GOCHEOK
8,14,1,2,0,0,KIWOOM,A,GOCHEOK
8,15,12,1,1,0,KIWOOM,A,GOCHEOK
8,16,3,2,1,0,LG,A,JAMSIL
8,17,14,4,1,0,LG,A,JAMSIL
8,18,4,0,1,0,LG,A,JAMSIL
8,20,0,0,0,1,LOTTE,H,KWANGJU
8,21,6,5,1,0,LOTTE,H,KWANGJU
8,22,6,4,0,0,LOTTE,H,KWANGJU
8,23,4,17,0,0,NC,A,CHANGWON
8,24,2,0,1,0,NC,A,CHANGWON
8,25,2,8,0,0,NC,A,CHANGWON
8,27,10,4,1,0,SSG,H,KWANGJU
8,28,7,6,1,0,SSG,H,KWANGJU
8,29,4,10,0,0,SSG,H,KWANGJU
8,30,15,13,0,0,SAMSUNG,A,DAEGU
9,1,6,5,1,0,SAMSUNG,A,DAEGU
9,3,7,5,1,0,LG,H,KWANGJU
9,4,4,5,0,0,HANHWA,H,KWANGJU
9,5,0,0,0,1,HANHWA,H,KWANGJU
9,6,0,0,0,1,KIWOOM,H,KWANGJU
9,7,0,0,0,1,KIWOOM,H,KWANGJU
9,8,0,0,0,1,KIWOOM,H,KWANGJU
9,12,0,0,0,1,LOTTE,H,KWANGJU
9,14,0,0,0,1,KIWOOM,H,KWANGJU
9,15,0,0,0,1,KIWOOM,H,KWANGJU
9,16,0,0,0,1,KT,A,SUWON
9,17,0,0,0,1,SSG,A,INCHEON
9,19,0,0,0,1,DOOSAN,A,JAMSIL
9,21,0,0,0,1,NC,H,KWANGJU
9,23,0,0,0,1,SAMSUNG,H,KWANGJU
9,24,0,0,0,1,SAMSUNG,H,KWANGJU
9,25,0,0,0,1,LOTTE,H,KWANGJU
9,27,0,0,0,1,HANHWA,A,TAEJEON
9,28,0,0,0,1,LOTTE,A,BUSAN
