M,D,W,L,WIN,DRAW,VS_TEAM,HOME_AWAY,PLAY_GROUND
3,23,2,6,0,0,SAMSUNG,H,SUWON
3,24,8,11,0,0,SAMSUNG,H,SUWON
3,26,5,7,0,0,DOOSAN,H,SUWON
3,27,8,11,0,0,DOOSAN,H,SUWON
3,28,8,7,1,0,DOOSAN,H,SUWON
3,29,2,3,0,0,HANHWA,A,TAEJEON
3,30,5,8,0,0,HANHWA,A,TAEJEON
3,31,3,14,0,0,HANHWA,A,TAEJEON
4,2,10,6,1,0,KIA,H,SUWON
4,3,1,5,0,0,KIA,H,SUWON
4,4,3,6,0,0,KIA,H,SUWON
4,5,8,7,1,0,LG,A,JAMSIL
4,6,4,8,0,0,LG,A,JAMSIL
4,7,7,16,0,0,LG,A,JAMSIL
4,9,6,1,1,0,NC,A,CHANGWON
4,10,2,3,0,0,NC,A,CHANGWON
4,11,7,8,0,0,NC,A,CHANGWON
4,12,8,3,1,0,SSG,H,SUWON
4,13,8,11,0,0,SSG,H,SUWON
4,14,1,8,0,0,SSG,H,SUWON
4,16,3,6,0,0,KIWOOM,A,GOCHEOK
4,17,6,4,1,0,KIWOOM,A,GOCHEOK
4,18,3,0,1,0,KIWOOM,A,GOCHEOK
4,19,3,4,0,0,LOTTE,A,BUSAN
4,20,0,0,0,0,LOTTE,A,BUSAN
4,21,9,9,0,1,LOTTE,A,BUSAN
4,21,5,7,0,0,LOTTE,A,BUSAN
4,23,9,6,1,0,HANHWA,H,SUWON
4,24,7,1,1,0,HANHWA,H,SUWON
4,25,9,0,1,0,HANHWA,H,SUWON
4,26,2,5,0,0,SSG,A,INCHEON
4,27,5,2,1,0,SSG,A,INCHEON
4,28,6,11,0,0,SSG,A,INCHEON
4,30,11,4,1,0,KIA,A,KWANGJU
5,1,1,9,0,0,KIA,A,KWANGJU
5,2,12,5,1,0,KIA,A,KWANGJU
5,3,2,1,1,0,KIWOOM,H,SUWON
5,4,6,2,1,0,KIWOOM,H,SUWON
5,5,0,0,0,0,KIWOOM,H,SUWON
5,7,0,0,0,0,NC,H,SUWON
5,8,7,6,1,0,NC,H,SUWON
5,9,6,2,1,0,NC,H,SUWON
5,10,3,7,0,0,DOOSAN,H,SUWON
5,11,0,0,0,0,DOOSAN,H,SUWON
5,12,4,12,0,0,DOOSAN,H,SUWON
5,12,4,8,0,0,DOOSAN,H,SUWON
5,14,8,5,1,0,SAMSUNG,A,DAEGU
5,15,1,3,0,0,SAMSUNG,A,DAEGU
5,16,9,2,1,0,SAMSUNG,A,DAEGU
5,17,5,4,1,0,KIWOOM,H,SUWON
5,18,5,2,1,0,KIWOOM,H,SUWON
5,19,0,0,0,0,KIWOOM,H,SUWON
5,21,,,0,1,,,
5,22,,,0,1,,,
5,23,,,0,1,,,
5,24,,,0,1,,,
5,25,,,0,1,,,
5,26,,,0,1,,,
5,28,,,0,1,,,
5,29,,,0,1,,,
5,30,,,0,1,,,
5,31,,,0,1,,,
6,1,,,0,1,,,
6,2,,,0,1,,,
6,4,,,0,1,,,
6,5,,,0,1,,,
6,6,,,0,1,,,
6,7,,,0,1,,,
6,8,,,0,1,,,
6,9,,,0,1,,,
6,11,,,0,1,,,
6,12,,,0,1,,,
6,13,,,0,1,,,
6,14,,,0,1,,,
6,15,,,0,1,,,
6,16,,,0,1,,,
6,18,,,0,1,,,
6,19,,,0,1,,,
6,20,,,0,1,,,
6,21,,,0,1,,,
6,22,,,0,1,,,
6,23,,,0,1,,,
6,23,,,0,1,,,
6,25,,,0,1,,,
6,26,,,0,1,,,
6,27,,,0,1,,,
6,28,,,0,1,,,
6,29,,,0,1,,,
6,30,,,0,1,,,
7,2,,,0,1,,,
7,3,,,0,1,,,
7,4,,,0,1,,,
7,9,,,0,1,,,
7,10,,,0,1,,,
7,11,,,0,1,,,
7,12,,,0,1,,,
7,13,,,0,1,,,
7,14,,,0,1,,,
7,16,,,0,1,,,
7,17,,,0,1,,,
7,18,,,0,1,,,
7,19,,,0,1,,,
7,20,,,0,1,,,
7,21,,,0,1,,,
7,23,,,0,1,,,
7,24,,,0,1,,,
7,25,,,0,1,,,
7,26,,,0,1,,,
7,27,,,0,1,,,
7,28,,,0,1,,,
7,30,,,0,1,,,
7,31,,,0,1,,,
8,1,,,0,1,,,
8,2,,,0,1,,,
8,3,,,0,1,,,
8,4,,,0,1,,,
8,6,,,0,1,,,
8,7,,,0,1,,,
8,8,,,0,1,,,
8,9,,,0,1,,,
8,10,,,0,1,,,
8,11,,,0,1,,,
8,13,,,0,1,,,
8,14,,,0,1,,,
8,15,,,0,1,,,
8,16,,,0,1,,,
8,17,,,0,1,,,
8,18,,,0,1,,,
8,20,,,0,1,,,
8,21,,,0,1,,,
8,22,,,0,1,,,
8,23,,,0,1,,,
8,24,,,0,1,,,
8,25,,,0,1,,,
8,26,,,0,1,,,
8,27,,,0,1,,,
8,28,,,0,1,,,
8,29,,,0,1,,,
8,31,,,0,1,,,
9,1,,,0,1,,,
9,3,,,0,1,,,
9,4,,,0,1,,,
9,7,,,0,1,,,
9,10,,,0,1,,,
9,13,,,0,1,,,
9,14,,,0,1,,,
9,16,,,0,1,,,
9,17,,,0,1,,  ,
9,19,,,0,1,,,
9,20,,,0,1,,,
9,21,,,0,1,,,
9,22,,,0,1,,,
9,23,,,0,1,,,
9,26,,,0,1,,,
9,28,,,0,1,,,
