M,D,W,L,WIN,DRAW,VS_TEAM,HOME_AWAY,PLAY_GROUND
3,23,3,5,0,0,SSG,A,INCHEON
3,24,6,7,0,0,SSG,A,INCHEON
3,26,1,2,0,0,KIA,A,KWANGJU
3,27,2,8,0,0,KIA,A,KWANGJU
3,29,3,1,1,0,NC,H,BUSAN
3,30,0,8,0,0,NC,H,BUSAN
3,31,7,8,0,0,NC,H,BUSAN
4,2,1,0,1,0,HANHWA,A,TAEJEON
4,4,5,6,0,0,HANHWA,A,TAEJEON
4,5,3,4,0,0,DOOSAN,H,BUSAN
4,6,8,1,1,0,DOOSAN,H,BUSAN
4,7,7,6,1,0,DOOSAN,H,BUSAN
4,9,1,8,0,0,SAMSUNG,H,BUSAN
4,10,7,10,0,0,SAMSUNG,H,BUSAN
4,11,0,4,0,0,SAMSUNG,H,BUSAN
4,12,4,9,0,0,KIWOOM,A,GOCHEOK
4,13,1,8,0,0,KIWOOM,A,GOCHEOK
4,14,5,7,0,0,KIWOOM,A,GOCHEOK
4,16,2,7,0,0,LG,A,JAMSIL
4,17,5,6,0,0,LG,A,JAMSIL
4,18,9,2,1,0,LG,A,JAMSIL
4,19,4,3,1,0,KT,H,BUSAN
4,21,9,9,0,1,KT,H,BUSAN
4,21,7,5,1,0,KT,H,BUSAN
4,24,7,12,0,0,SSG,H,BUSAN
4,25,6,3,1,0,SSG,H,BUSAN
4,26,0,4,0,0,NC,A,CHANGWON
4,27,0,2,0,0,NC,A,CHANGWON
4,28,3,5,0,0,NC,A,CHANGWON
4,30,7,9,0,0,KIWOOM,H,BUSAN
5,1,3,6,0,0,KIWOOM,H,BUSAN
5,2,6,5,1,0,KIWOOM,H,BUSAN
5,3,8,7,1,0,SAMSUNG,A,DAEGU
5,4,9,2,1,0,SAMSUNG,A,DAEGU
5,8,6,1,1,0,HANHWA,H,BUSAN
5,9,18,5,1,0,HANHWA,H,BUSAN
5,10,1,9,0,0,LG,H,BUSAN
5,11,1,2,0,0,LG,H,BUSAN
5,12,4,6,0,0,LG,H,BUSAN
5,14,4,7,0,0,KT,A,SUWON
5,16,2,0,1,0,KT,A,SUWON
5,17,5,1,1,0,DOOSAN,A,JAMSIL
5,18,3,8,0,0,DOOSAN,A,JAMSIL
5,19,3,3,0,1,DOOSAN,A,JAMSIL
5,21,6,1,1,0,KIA,H,BUSAN
5,22,4,2,1,0,KIA,H,BUSAN
5,23,10,6,1,0,KIA,H,BUSAN
5,24,5,11,0,0,SAMSUNG,H,BUSAN
5,25,7,6,1,0,SAMSUNG,H,BUSAN
5,26,9,1,1,0,SAMSUNG,H,BUSAN
5,28,3,12,0,0,HANHWA,A,TAEJEON
5,29,0,3,0,0,HANHWA,A,TAEJEON
5,30,0,15,0,0,HANHWA,A,TAEJEON
5,31,13,5,1,0,NC,H,BUSAN
6,1,2,4,0,0,NC,H,BUSAN
