M	D	W	L	WIN	DRAW	VS_TEAM	HOME_AWAY	PLAY_GROUND
3	23	2	8	0	0	LG	A	JAMSIL
3	24	6	4	1	0	LG	A	JAMSIL
3	26	6	0	1	0	SSG	A	INCHEON
3	27	3	1	1	0	SSG	A	INCHEON
3	28	10	6	1	0	SSG	A	INCHEON
3	29	3	2	1	0	KT	H	TAEJEON
3	30	8	5	1	0	KT	H	TAEJEON
3	31	14	3	1	0	KT	H	INCHEON
4	2	0	1	0	0	LOTTE	H	TAEJEON
4	4	6	5	1	0	LOTTE	H	TAEJEON
4	5	7	11	0	0	KIWOOM	A	GOCHEOK
4	6	6	7	0	0	KIWOOM	A	GOCHEOK
4	7	3	4	0	0	KIWOOM	A	GOCHEOK
4	9	3	5	0	0	DOOSAN	A	JAMSIL
4	10	4	7	0	0	DOOSAN	A	JAMSIL
4	11	3	0	1	0	DOOSAN	A	JAMSIL
4	12	4	8	0	0	KIA	H	TAEJEON
4	13	9	11	0	0	KIA	H	TAEJEON
4	14	2	5	0	0	KIA	H	TAEJEON
4	16	7	4	1	0	NC	A	CHANGWON
4	17	3	4	0	0	NC	A	CHANGWON
4	19	6	1	1	0	SAMSUNG	H	TAEJEON
4	20	0	1	0	0	SAMSUNG	H	TAEJEON
4	21	3	5	0	0	SAMSUNG	H	TAEJEON
4	23	6	9	0	0	KT	A	SUWON
4	24	1	7	0	0	KT	A	SUWON
4	25	0	9	0	0	KT	A	SUWON
4	26	5	10	0	0	DOOSAN	H	TAEJEON
4	27	10	5	1	0	DOOSAN	H	TAEJEON
4	28	8	17	0	0	DOOSAN	H	TAEJEON
4	30	8	2	1	0	SSG	H	TAEJEON
5	1	7	8	0	0	SSG	H	TAEJEON
5	2	3	4	0	0	SSG	H	TAEJEON
5	3	4	2	1	0	KIA	A	KWANGJU
5	4	2	10	0	0	KIA	A	KWANGJU
5	8	1	6	0	0	LOTTE	A	BUSAN
5	9	5	18	0	0	LOTTE	A	BUSAN
5	10	5	4	1	0	KIWOOM	H	TAEJEON
5	11	1	7	0	0	KIWOOM	H	TAEJEON
5	12	8	3	1	0	KIWOOM	H	TAEJEON
5	14	5	5	0	1	NC	H	TAEJEON
5	15	1	16	0	0	NC	H	TAEJEON
5	16	3	4	0	0	NC	H	TAEJEON
5	17	5	7	0	0	SAMSUNG	A	DAEGU
5	18	8	9	0	0	SAMSUNG	A	DAEGU
5	19	12	2	1	0	SAMSUNG	A	DAEGU
5	21	8	4	1	0	LG	H	TAEJEON
5	22	7	5	1	0	LG	H	TAEJEON
5	23	4	8	0	0	LG	H	TAEJEON
5	24	7	5	1	0	SSG	A	INCHEON
5	25	4	2	1	0	SSG	A	INCHEON
5	28	12	3	1	0	LOTTE	H	TAEJEON
5	29	3	0	1	0	LOTTE	H	TAEJEON
5	30	15	0	1	0	LOTTE	H	TAEJEON
5	31	6	8	0	0	SAMSUNG	A	DAEGU
6	1	4	6	0	0	SAMSUNG	A	DAEGU
6	2	0	1	0	0	SAMSUNG	A	DAEGU
6	4	8	2	1	0	KT	A	SUWON
6	5	12	2	1	0	KT	A	SUWON
6	6	6	0	1	0	KT	A	SUWON
6	7	2	6	0	0	NC	H	TAEJEON
6	8	2	4	0	0	NC	H	TAEJEON
6	9	3	3	0	1	NC	H	TAEJEON
6	11	6	1	1	0	DOOSAN	A	JAMSIL
6	12	4	3	1	0	DOOSAN	A	JAMSIL
6	13	6	9	0	0	DOOSAN	A	JAMSIL
6	14	4	11	0	0	SSG	H	TAEJEON
6	15	1	9	0	0	SSG	H	TAEJEON
6	16	4	1	1	0	SSG	H	TAEJEON
6	18	3	0	1	0	KIWOOM	H	TAEJEON
6	19	14	11	1	0	KIWOOM	H	TAEJEON
6	20	0	7	0	0	KIWOOM	H	TAEJEON
6	21	3	8	0	0	KIA	A	KWANGJU
6	23	9	8	1	0	KIA	A	KWANGJU
6	23	1	4	0	0	KIA	A	KWANGJU
6	25	5	4	1	0	DOOSAN	H	TAEJEON
6	26	8	15	0	0	DOOSAN	H	TAEJEON
6	27	8	3	1	0	DOOSAN	H	TAEJEON
6	28	6	4	1	0	LOTTE	A	BUSAN
7	2	5	6	0	0	KT	H	TAEJEON
7	3	2	3	0	0	KT	H	TAEJEON
7	4	13	5	1	0	KT	H	TAEJEON
7	9	3	5	0	0	KIWOOM	A	GOCHEOK
7	10	7	0	1	0	KIWOOM	A	GOCHEOK
7	11	4	5	0	0	KIWOOM	A	GOCHEOK
7	12	6	0	1	0	LG	H	TAEJEON
7	13	3	7	0	0	LG	H	TAEJEON
7	14	4	8	0	0	LG	H	TAEJEON
7	17	1	5	0	0	NC	A	CHANGWON
7	18	3	4	0	0	NC	A	CHANGWON
7	19	3	7	0	0	KIA	H	TAEJEON
7	20	4	8	0	0	KIA	H	TAEJEON
7	21	7	8	0	0	KIA	H	TAEJEON
7	23	6	5	1	0	SAMSUNG	H	TAEJEON
7	24	3	2	1	0	SAMSUNG	H	TAEJEON
7	28	9	6	1	0	LG	A	JAMSIL
7	30	6	4	1	0	KT	A	SUWON
7	31	18	7	1	0	KT	A	SUWON
8	1	14	8	1	0	KT	A	SUWON
8	2	10	3	1	0	KIA	H	TAEJEON
8	3	3	7	0	0	KIA	H	TAEJEON
8	6	8	5	1	0	SAMSUNG	A	DAEGU
