M,D,W,L,WIN,DRAW,VS_TEAM,HOME_AWAY,PLAY_GROUND
3,23,8,2,1,0,HANHWA,H,JAMSIL
3,24,8,4,1,0,HANHWA,H,JAMSIL
3,26,4,3,1,0,SAMSUNG,H,JAMSIL
3,27,2,2,0,1,SAMSUNG,H,JAMSIL
3,28,18,1,1,0,SAMSUNG,H,JAMSIL
3,29,3,0,1,0,KIWOOM,A,GOCHEOK
3,30,3,8,0,0,KIWOOM,A,GOCHEOK
3,31,4,8,0,0,KIWOOM,A,GOCHEOK
4,2,5,7,0,0,NC,H,JAMSIL
4,3,5,0,1,0,NC,H,JAMSIL
4,4,8,7,1,0,NC,H,JAMSIL
4,5,7,8,0,0,KT,H,JAMSIL
4,6,8,4,1,0,KT,H,JAMSIL
4,7,16,7,1,0,KT,H,JAMSIL
4,9,2,7,0,0,KIA,A,KWANGJU
4,10,4,5,0,0,KIA,A,KWANGJU
4,11,4,8,0,0,KIA,A,KWANGJU
4,12,2,1,1,0,DOOSAN,A,JAMSIL
4,13,2,5,0,0,DOOSAN,A,JAMSIL
4,14,5,9,0,0,DOOSAN,A,JAMSIL
4,16,7,2,1,0,LOTTE,H,JAMSIL
4,17,6,5,1,0,LOTTE,H,JAMSIL
4,18,2,9,0,0,LOTTE,H,JAMSIL
4,19,4,1,1,0,SSG,A,INCHEON
4,21,10,8,1,0,SSG,A,INCHEON
4,21,5,5,0,1,SSG,A,INCHEON
4,23,7,3,1,0,SAMSUNG,A,DAEGU
4,24,6,0,1,0,SAMSUNG,A,DAEGU
4,25,8,2,1,0,SAMSUNG,A,DAEGU
4,26,7,6,1,0,KIA,H,JAMSIL
4,27,6,3,1,0,KIA,H,JAMSIL
4,28,7,10,0,0,KIA,H,JAMSIL
4,30,8,0,1,0,NC,A,CHANGWON
5,1,10,1,1,0,NC,A,CHANGWON
5,2,5,4,1,0,NC,A,CHANGWON
5,3,4,6,0,0,DOOSAN,H,JAMSIL
5,4,2,3,0,0,DOOSAN,H,JAMSIL
