년,분기,상인,서부정류장,중앙로,대구역,동대구역
2017,1,1224430,960091,1998780,897079,1952246
2017,2,1262320,1013239,1870465,918061,1714016
2017,3,1181782,941059,1832563,843000,1612807
2017,4,1193604,956212,1727541,870941,1602821
2018,1,1156373,900397,1869396,842343,1657212
2018,2,1257141,989789,1850110,906857,1690282
2018,3,1156708,908611,1776828,830038,1630930
2018,4,1190181,950984,1723071,874235,1678239
2019,1,1175174,917934,1880689,857413,1722475
2019,2,1253412,982358,1798904,922100,1726061
2019,3,1183507,928091,1783543,861584,1712096
2019,4,1192342,937410,1676068,861929,1721329
2020,1,1060953,809071,1595194,752975,1535796
2020,2,552200,435949,643663,405720,654190
2020,3,851885,637500,1045600,589620,1112035
2020,4,865663,671417,1034402,610314,1116723
2021,1,761000,588242,947918,533678,973429
2021,2,918250,702532,1089185,639136,1220917
2021,3,850861,638957,1030097,578190,1129750
2021,4,888599,690855,1073094,616713,1263190
2022,1,833684,627163,1091685,570228,1217100
2022,2,924800,689693,1121447,638351,1308889
2022,3,928545,697742,1250137,647617,1432128
2022,4,955852,736953,1209722,664448,1471138
2023,1,945303,695688,1333717,643398,1513671
2023,2,1033089,754465,1289046,699812,1549121
2023,3,958180,687272,1269810,633421,1492493
2023,4,980499,709142,1237603,669422,1531068
