년,분기,용산,두류,반월당2,범어,영남대
2017,1,811411,819034,2515935,739043,751345
2017,2,887355,904753,2481854,750032,1169477
2017,3,803299,778478,2366061,695303,756540
2017,4,853360,768938,2312243,711052,1026697
2018,1,744588,716512,2410004,689908,664272
2018,2,865886,845242,2508074,747295,1154100
2018,3,796023,744633,2401444,672940,714486
2018,4,853452,764311,2371672,684962,1015745
2019,1,753520,723096,2508329,684765,672662
2019,2,861793,859881,2542525,751184,1143489
2019,3,805585,771245,2471689,700338,696615
2019,4,843084,760039,2345191,714645,1009691
2020,1,681857,647833,2172272,647869,607830
2020,2,354505,368368,1040454,357000,296610
2020,3,533856,517683,1633473,533019,448240
2020,4,549092,527739,1620505,543210,553206
2021,1,465115,454169,1487923,507095,394598
2021,2,571741,567784,1707519,597169,640521
2021,3,525945,508595,1569475,558855,473216
2021,4,563831,566488,1654354,568120,598458
2022,1,512192,510185,1622115,543439,469967
2022,2,602227,605163,1747313,598929,920893
2022,3,612937,585273,1852349,596758,561027
2022,4,649200,593481,1831556,622829,851115
2023,1,598054,554018,1948612,617731,546947
2023,2,694424,636290,1994321,675601,962842
2023,3,630200,565889,1935362,623110,576906
2023,4,651960,607245,1920638,639456,844775
