년,분기,팔거,칠곡운암,북구청,서문시장,범물
2017,1,380018,368272,290562,604195,367625
2017,2,403603,395418,321670,766166,393855
2017,3,390955,376482,299061,735527,381813
2017,4,390748,374947,310646,730286,373617
2018,1,374893,352846,293605,637169,350804
2018,2,407284,388535,345675,742896,391138
2018,3,386581,367611,311815,710654,377006
2018,4,392939,377262,326725,723955,382725
2019,1,388211,364640,314641,678338,368233
2019,2,415279,400823,365107,698988,405592
2019,3,410155,384615,334608,663767,390268
2019,4,412453,389652,348687,648875,394512
2020,1,372956,340559,300919,519133,344737
2020,2,206607,209429,184992,344545,210671
2020,3,309386,300854,266158,502826,300642
2020,4,315747,310439,277080,496220,303932
2021,1,278875,268777,246523,414563,267203
2021,2,333348,322051,294922,514494,322661
2021,3,313942,301401,277174,465756,303407
2021,4,332615,321554,289100,498555,316585
2022,1,316902,297180,269760,428161,287658
2022,2,357091,335707,310198,511293,321478
2022,3,362984,333702,304277,537548,332495
2022,4,372324,346025,323358,535839,340155
2023,1,359699,329310,306022,502546,321994
2023,2,391514,360074,344981,588932,358258
2023,3,376219,330667,310909,546449,338276
2023,4,389400,340828,326648,561688,341155
