M,D,W,L,WIN,DRAW,VS_TEAM,HOME_AWAY,PLAY_GROUND,NOTI
3,23,3,4,0,0,NC,A,CHANGWON,NONE
3,24,6,3,1,0,NC,A,CHANGWON,NONE
3,26,8,5,1,0,KT,A,SUWON,NONE
3,27,11,8,1,0,KT,A,SUWON,NONE
3,28,7,8,0,0,KT,A,SUWON,NONE
3,29,2,4,0,0,KIA,H,JAMSIL,NONE
3,30,8,0,1,0,KIA,H,JAMSIL,NONE
3,31,3,9,0,0,KIA,H,JAMSIL,NONE
4,2,6,13,0,0,SSG,A,INCHEON,NONE
4,3,3,5,0,0,SSG,A,INCHEON,NONE
4,4,2,3,0,0,SSG,A,INCHEON,NONE
4,5,4,3,1,0,LOTTE,A,BUSAN,NONE
4,6,1,8,0,0,LOTTE,A,BUSAN,NONE
4,7,6,7,0,0,LOTTE,A,BUSAN,NONE
4,9,5,3,1,0,HANHWA,H,JAMSIL,NONE
4,10,7,4,1,0,HANHWA,H,JAMSIL,NONE
4,11,0,3,0,0,HANHWA,H,JAMSIL,NONE
4,12,1,2,0,0,LG,H,JAMSIL,NONE
4,13,5,2,1,0,LG,H,JAMSIL,NONE
4,14,9,5,1,0,LG,H,JAMSIL,NONE
4,16,5,7,0,0,SAMSUNG,A,DAEGU,NONE
4,17,2,9,0,0,SAMSUNG,A,DAEGU,NONE
4,18,2,5,0,0,SAMSUNG,A,DAEGU,NONE
4,19,19,8,1,0,KIWOOM,H,JAMSIL,NONE
4,21,4,8,0,0,KIWOOM,H,JAMSIL,DH_1
4,21,2,1,1,0,KIWOOM,H,JAMSIL,DH_2
4,23,4,3,1,0,NC,H,JAMSIL,NONE
4,24,1,3,0,0,NC,H,JAMSIL,NONE
4,25,7,3,1,0,NC,H,JAMSIL,NONE
4,26,10,5,1,0,HANHWA,A,TAEJEON,NONE
4,27,5,10,0,0,HANHWA,A,TAEJEON,NONE
4,28,17,8,1,0,HANHWA,A,TAEJEON,NONE
4,30,0,4,0,0,SAMSUNG,H,JAMSIL,NONE
5,1,2,9,0,0,SAMSUNG,H,JAMSIL,NONE
5,2,2,4,0,0,SAMSUNG,H,JAMSIL,NONE
5,3,6,4,1,0,LG,A,JAMSIL,NONE
5,4,3,2,1,0,LG,A,JAMSIL,NONE
5,7,13,4,1,0,KIWOOM,A,GOCHEOK,NONE
5,8,6,1,1,0,KIWOOM,A,GOCHEOK,NONE
