M	D	W	L	WIN	DRAW	VS_TEAM	HOME_AWAY	PLAY_GROUND
3	23	5	7	0	0	KIA	A	KWANGJU
3	26	4	10	0	0	NC	A	CHANGWON
3	27	2	6	0	0	NC	A	CHANGWON
3	29	0	3	0	0	LG	A	JAMSIL
3	30	8	3	1	0	LG	A	JAMSIL
3	31	8	4	1	0	LG	A	JAMSIL
4	2	8	3	1	0	SAMSUNG	A	DAEGU
4	4	10	1	1	0	SAMSUNG	A	DAEGU
4	5	11	7	1	0	HANHWA	H	GOCHEOK
4	6	7	6	1	0	HANHWA	H	GOCHEOK
4	7	4	3	1	0	HANHWA	H	GOCHEOK
4	9	5	8	0	0	SSG	A	INCHEON
4	10	4	8	0	0	SSG	A	INCHEON
4	11	5	2	1	0	SSG	A	INCHEON
4	12	9	4	1	0	LOTTE	H	GOCHEOK
4	13	8	1	1	0	LOTTE	H	GOCHEOK
4	14	7	5	1	0	LOTTE	H	GOCHEOK
4	16	6	3	1	0	KT	H	GOCHEOK
4	17	4	6	0	0	KT	H	GOCHEOK
4	18	0	3	0	0	KT	H	GOCHEOK
4	19	8	19	0	0	DOOSAN	A	JAMSIL
4	21	8	4	1	0	DOOSAN	A	JAMSIL
4	21	1	2	0	0	DOOSAN	A	JAMSIL
4	23	2	5	0	0	KIA	H	GOCHEOK
4	24	4	6	0	0	KIA	H	GOCHEOK
4	25	2	13	0	0	KIA	H	GOCHEOK
4	26	0	3	0	0	SAMSUNG	H	GOCHEOK
4	27	0	11	0	0	SAMSUNG	H	GOCHEOK
4	28	6	11	0	0	SAMSUNG	H	GOCHEOK
4	30	9	7	1	0	LOTTE	A	BUSAN
5	1	6	3	1	0	LOTTE	A	BUSAN
5	2	5	6	0	0	LOTTE	A	BUSAN
5	3	1	2	0	0	KT	A	SUWON
5	4	2	6	0	0	KT	A	SUWON
5	7	4	13	0	0	DOOSAN	H	GOCHEOK
5	8	1	6	0	0	DOOSAN	H	GOCHEOK
5	9	2	5	0	0	DOOSAN	H	GOCHEOK
5	10	4	5	0	0	HANHWA	A	TAEJEON
5	11	7	1	1	0	HANHWA	A	TAEJEON
5	12	3	8	0	0	HANHWA	A	TAEJEON
5	14	5	0	1	0	LG	A	JAMSIL
5	16	6	5	1	0	LG	A	JAMSIL
5	17	4	5	0	0	SSG	H	GOCHEOK
5	18	0	3	0	0	SSG	H	GOCHEOK
5	19	10	3	1	0	SSG	H	GOCHEOK
5	21	3	5	0	0	NC	H	GOCHEOK
5	22	3	4	0	0	NC	H	GOCHEOK
5	23	6	4	1	0	NC	H	GOCHEOK
5	24	4	5	0	0	KT	A	SUWON
5	25	2	5	0	0	KT	A	SUWON
5	28	4	3	1	0	SAMSUNG	A	DAEGU
5	29	11	5	1	0	SAMSUNG	A	DAEGU
5	30	2	4	0	0	SAMSUNG	A	DAEGU
5	31	2	4	0	0	SSG	H	GOCHEOK
6	1	0	9	0	0	SSG	H	GOCHEOK
6	2	2	6	0	0	SSG	H	GOCHEOK
6	4	11	3	1	0	LG	A	JAMSIL
6	5	2	4	0	0	LG	A	JAMSIL
6	6	4	8	0	0	LG	A	JAMSIL
6	7	7	5	1	0	SAMSUNG	H	GOCHEOK
6	8	10	3	1	0	SAMSUNG	H	GOCHEOK
6	9	1	7	0	0	SAMSUNG	H	GOCHEOK
6	11	5	2	1	0	LOTTE	A	BUSAN
6	12	2	9	0	0	LOTTE	A	BUSAN
6	13	10	18	0	0	LOTTE	A	BUSAN
6	14	4	6	0	0	DOOSAN	H	GOCHEOK
6	15	1	4	0	0	DOOSAN	H	GOCHEOK
6	16	8	2	1	0	DOOSAN	H	GOCHEOK
6	18	0	3	0	0	HANHWA	A	TAEJEON
6	19	11	14	0	0	HANHWA	A	TAEJEON
6	20	7	0	1	0	HANHWA	A	TAEJEON
6	21	5	2	1	0	LOTTE	H	GOCHEOK
6	22	1	6	0	0	LOTTE	H	GOCHEOK
6	23	2	10	0	0	LOTTE	H	GOCHEOK
6	25	6	5	1	0	NC	H	GOCHEOK
6	26	10	7	1	0	NC	H	GOCHEOK
6	27	9	7	1	0	NC	H	GOCHEOK
6	28	17	6	1	0	KIA	A	KWANGJU
7	2	4	2	1	0	LG	H	GOCHEOK
7	3	4	1	1	0	LG	H	GOCHEOK
7	4	2	3	0	0	LG	H	GOCHEOK
7	9	5	3	1	0	HANHWA	H	GOCHEOK
7	10	0	7	0	0	HANHWA	H	GOCHEOK
7	11	5	4	1	0	HANHWA	H	GOCHEOK
7	12	2	9	0	0	NC	A	CHANGWON
7	13	5	11	0	0	NC	A	CHANGWON
7	16	3	4	0	0	KT	H	GOCHEOK
7	17	2	9	0	0	KT	H	GOCHEOK
7	18	8	12	0	0	KT	H	GOCHEOK
7	19	3	9	0	0	SSG	A	INCHEON
7	21	7	2	1	0	SSG	A	INCHEON
7	23	3	6	0	0	DOOSAN	A	JAMSIL
7	24	4	7	0	0	DOOSAN	A	JAMSIL
7	25	6	1	1	0	DOOSAN	A	JAMSIL
7	26	5	4	1	0	KIA	H	GOCHEOK
7	27	6	5	1	0	KIA	H	GOCHEOK
7	28	3	4	0	0	KIA	H	GOCHEOK
7	30	6	2	1	0	NC	H	GOCHEOK
7	31	0	9	0	0	NC	H	GOCHEOK
8	1	14	9	1	0	NC	H	GOCHEOK
8	2	6	4	1	0	DOOSAN	A	JAMSIL
8	3	15	5	1	0	DOOSAN	A	JAMSIL
8	6	2	6	0	0	SSG	H	GOCHEOK
8	7	2	6	0	0	SSG	H	GOCHEOK
8	8	3	0	1	0	SSG	H	GOCHEOK
8	9	5	7	0	0	HANHWA	A	TAEJEON
8	10	3	1	1	0	HANHWA	A	TAEJEON
8	11	7	3	1	0	HANHWA	A	TAEJEON
8	13	0	2	0	0	KIA	H	GOCHEOK
8	14	2	1	1	0	KIA	H	GOCHEOK
8	15	1	12	0	0	KIA	H	GOCHEOK
8	16	0	4	0	0	LOTTE	A	BUSAN
8	17	8	7	1	0	LOTTE	A	BUSAN
8	18	4	5	0	0	LOTTE	A	BUSAN
8	20	3	2	1	0	KT	A	SUWON
8	21	0	5	0	0	KT	A	SUWON
8	22	2	3	0	0	KT	A	SUWON
8	23	9	3	1	0	LG	H	GOCHEOK
8	24	0	7	0	0	LG	H	GOCHEOK
8	25	6	4	1	0	LG	H	GOCHEOK
8	27	0	1	0	0	SAMSUNG	H	GOCHEOK
8	28	5	9	0	0	SAMSUNG	H	GOCHEOK
8	29	0	1	0	0	SAMSUNG	H	GOCHEOK
8	30	2	8	0	0	LOTTE	H	GOCHEOK
9	3	5	11	0	0	NC	A	CHANGWON
9	4	6	13	0	0	NC	A	CHANGWON
9	5	0	0	0	0	NC	A	CHANGWON
9	6	0	0	0	0	KIA	A	KWANGJU
9	7	0	0	0	0	KIA	A	KWANGJU
9	8	0	0	0	0	KIA	A	KWANGJU
9	10	0	0	0	0	DOOSAN	H	GOCHEOK
9	11	0	0	0	0	LG	A	JAMSIL
9	12	0	0	0	0	LG	A	JAMSIL
9	14	0	0	0	0	KIA	A	KWANGJU
9	15	0	0	0	0	KIA	A	KWANGJU
9	16	0	0	0	0	DOOSAN	A	JAMSIL
9	17	0	0	0	0	KIA	H	GOCHEOK
9	19	0	0	0	0	SSG	A	INCHEON
9	20	0	0	0	0	SSG	A	INCHEON
9	21	0	0	0	0	SAMSUNG	A	DAEGU
9	22	0	0	0	0	SAMSUNG	A	DAEGU
9	24	0	0	0	0	HANHWA	H	GOCHEOK
9	27	0	0	0	0	KT	A	SUWON
9	28	0	0	0	0	KT	A	SUWON
