M,D,W,L,WIN,DRAW,VS_TEAM,HOME_AWAY,PLAY_GROUND
3,23,6,2,1,0,KT,AWAY,SUWON
3,24,11,8,1,0,KT,AWAY,SUWON
3,26,3,4,0,0,LG,AWAY,JAMSIL
3,27,2,2,0,1,LG,AWAY,JAMSIL
3,28,1,18,0,0,LG,AWAY,JAMSIL
3,29,4,6,0,0,SSG,HOME,DAEGU
3,30,6,9,0,0,SSG,HOME,DAEGU
3,31,3,4,0,0,SSG,HOME,DAEGU
4,2,3,8,0,0,KIWOOM,HOME,DAEGU
4,4,1,10,0,0,KIWOOM,HOME,DAEGU
4,5,5,2,1,0,KIA,AWAY,KWANGJU
4,6,7,4,1,0,KIA,AWAY,KWANGJU
4,7,7,3,1,0,KIA,AWAY,KWANGJU
4,9,8,1,1,0,LOTTE,AWAY,BUSAN
4,10,10,7,1,0,LOTTE,AWAY,BUSAN
4,11,4,0,1,0,LOTTE,AWAY,BUSAN
4,12,3,8,0,0,NC,HOME,DAEGU
4,13,3,4,0,0,NC,HOME,DAEGU
4,14,12,5,1,0,NC,HOME,DAEGU
4,16,7,5,1,0,DOOSAN,HOME,DAEGU
4,17,9,2,1,0,DOOSAN,HOME,DAEGU
4,18,5,2,1,0,DOOSAN,HOME,DAEGU
4,19,1,6,0,0,HANHWA,AWAY,TAEJEON
4,20,1,0,1,0,HANHWA,AWAY,TAEJEON
4,21,5,3,1,0,HANHWA,AWAY,TAEJEON
4,23,7,3,1,0,LG,HOME,DAEGU
4,24,6,0,1,0,LG,HOME,DAEGU
4,25,2,8,0,0,LG,HOME,DAEGU
4,26,3,0,1,0,KIWOOM,AWAY,GOCHEOK
4,27,11,0,1,0,KIWOOM,AWAY,GOCHEOK
4,28,11,6,1,0,KIWOOM,AWAY,GOCHEOK
4,30,0,4,0,0,DOOSAN,AWAY,JAMSIL
5,1,9,2,1,0,DOOSAN,AWAY,JAMSIL
5,2,4,2,1,0,DOOSAN,AWAY,JAMSIL
5,3,7,8,0,0,LOTTE,HOME,DAEGU
5,4,2,9,0,0,LOTTE,HOME,DAEGU
5,8,2,4,0,0,KIA,HOME,DAEGU
5,9,5,2,1,0,KIA,HOME,DAEGU
5,10,3,10,0,0,NC,AWAY,CHANGWON
5,11,3,2,1,0,NC,AWAY,CHANGWON
5,12,7,2,1,0,NC,AWAY,CHANGWON
5,14,2,9,0,0,SSG,AWAY,INCHEON
5,16,12,4,1,0,SSG,AWAY,INCHEON
5,17,7,5,1,0,HANHWA,HOME,DAEGU
5,18,9,8,1,0,HANHWA,HOME,DAEGU
5,19,2,12,0,0,HANHWA,HOME,DAEGU
5,21,5,8,0,0,KT,HOME,DAEGU
5,22,3,1,1,0,KT,HOME,DAEGU
5,23,2,9,0,0,KT,HOME,DAEGU
5,24,5,11,0,0,LOTTE,AWAY,BUSAN
5,25,7,6,1,0,LOTTE,AWAY,BUSAN
5,26,9,1,1,0,LOTTE,AWAY,BUSAN
5,28,3,4,0,0,KIWOOM,HOME,DAEGU
