년,분기,설화명곡,화원,대곡,진천,월배,상인,월촌,송현,서부정류장,대명,안지랑,현충로,영대병원,교대,명덕1,반월당1,중앙로,대구역,칠성시장,신천,동대구역,동구청,아양교,동촌,해안,방촌,용계
2017,1,375616,307843,633724,651361,408198,1224430,463317,367831,960091,418189,431553,349756,533807,377446,367439,786433,1998780,897079,476516,440865,1952246,374205,523127,185966,263361,304141,207716
2017,2,427086,335905,685042,673809,429053,1262320,508011,384384,1013239,435915,465629,381446,649807,433052,409754,790498,1870465,918061,512018,479912,1714016,407741,577603,209963,291679,319921,216769
2017,3,421642,324298,649721,632426,404618,1181782,473461,361234,941059,440390,428519,352736,547442,389102,369461,781856,1832563,843000,483523,432056,1612807,375396,518199,187877,265562,295960,198566
2017,4,433503,338001,675419,646508,411651,1193604,484696,366633,956212,409516,429368,360010,584238,399048,374284,754623,1727541,870941,493304,443744,1602821,382555,534906,203835,280629,304888,203420
2018,1,405633,338882,638540,624412,387349,1156373,445919,371370,900397,424349,407812,347252,511195,370688,338300,790143,1869396,842343,453850,405020,1657212,347413,480550,184285,252061,286674,192585
2018,2,461331,388803,702420,677367,442997,1257141,517229,400400,989789,455658,461138,383380,649238,432615,396021,839688,1850110,906857,495369,476819,1690282,398965,560765,229282,278951,320589,217235
2018,3,436475,367200,648322,636460,411532,1156708,468914,367354,908611,452762,422798,348253,544263,384497,365126,838367,1776828,830038,462461,439520,1630930,362912,499005,201202,254402,299117,195624
2018,4,442188,379864,680171,661704,429831,1190181,489391,371263,950984,445476,439601,363216,595667,397804,382395,821202,1723071,874235,495398,468422,1678239,382722,532949,219365,272014,313606,207670
2019,1,426859,365057,643141,651188,411490,1175174,454848,364930,917934,467052,431318,352874,531885,349422,345221,884273,1880689,857413,462246,448932,1722475,352823,498579,209242,256220,300191,196449
2019,2,463936,395497,693906,692892,453450,1253412,507610,388756,982358,480200,478228,396131,669836,417462,400392,895559,1798904,922100,496381,516295,1726061,400533,573416,244491,289903,327193,213025
2019,3,451005,375842,657361,658312,430066,1183507,472264,372195,928091,477762,446500,375217,574634,377325,373808,886831,1783543,861584,472652,471675,1712096,363277,515742,219740,266488,312673,200827
2019,4,457563,385787,680332,671199,446966,1192342,479300,377205,937410,468092,453502,386288,627942,399534,388173,854354,1676068,861929,508752,495668,1721329,375530,537722,234171,281236,320040,207306
2020,1,396714,337962,587933,595593,393260,1060953,414614,347250,809071,434188,399937,338419,504395,330623,323163,782554,1595194,752975,431077,430477,1535796,314162,452929,207301,245330,287613,180867
2020,2,225709,191432,323306,335043,211923,552200,232302,204331,435949,142722,226411,186157,266792,177138,173954,395488,643663,405720,266356,237569,654190,182266,254504,121565,134199,163148,103513
2020,3,329811,288097,483532,484726,317167,851885,353943,288276,637500,207889,329288,262071,389537,274991,273689,610238,1045600,589620,366459,359094,1112035,256525,376406,165630,194219,227835,155354
2020,4,337931,299779,500489,497061,328684,865663,363010,292211,671417,213660,345438,271876,421702,282793,277048,582351,1034402,610314,382171,366662,1116723,263123,393642,172986,204539,233484,160306
2021,1,290333,257182,430861,438723,295662,761000,308647,264011,588242,196790,303800,243357,347790,240386,227027,547246,947918,533678,330854,325174,973429,223901,331074,149472,171366,206030,135204
2021,2,367031,320785,521511,530845,357243,918250,390582,312273,702532,235773,372737,297567,455812,311740,282246,622169,1089185,639136,385547,400685,1220917,270656,422657,187667,208324,249141,167635
2021,3,342718,290842,478550,488247,329590,850861,354230,292758,638957,227116,338206,267021,370128,284024,258306,594577,1030097,578190,352010,366258,1129750,244130,382804,167777,193370,239049,153305
2021,4,360314,318015,521125,526799,347224,888599,366476,300975,690855,233708,351389,287001,406270,339896,268582,614471,1073094,616713,380077,389210,1263190,260156,415510,186615,205317,267014,164891
2022,1,329671,285543,435641,531072,328481,833684,326945,281096,627163,219635,324136,263980,351376,296821,239518,607303,1091685,570228,342542,352023,1217100,236235,366911,168106,183707,246106,148035
2022,2,377857,324586,406235,661001,358727,924800,372615,305271,689693,239985,359460,294629,438700,316550,277402,649612,1121447,638351,373287,406239,1308889,269462,424821,201863,207615,275051,167944
2022,3,382761,327170,410173,674967,360115,928545,369275,307307,697742,246816,351308,289089,392156,324639,267326,697035,1250137,647617,373964,405186,1432128,267424,414384,185179,210989,285969,170808
2022,4,397540,341727,434117,711360,371155,955852,378833,310241,736953,270312,368875,300114,441724,352329,274330,683212,1209722,664448,394733,427756,1471138,281084,444279,203233,220363,293261,175504
2023,1,378762,329953,408392,693513,361758,945303,357469,303710,695688,278082,355729,284445,391830,319475,252872,718134,1333717,643398,365704,406264,1513671,265889,413895,183454,205599,286949,166919
2023,2,425962,372337,440727,746469,398775,1033089,396771,326005,754465,305356,389424,315508,490570,377591,291888,760062,1289046,699812,405755,466064,1549121,305254,473042,217574,225531,311146,188363
2023,3,404757,340617,411357,683724,370610,958180,365782,306158,687272,286549,346770,284029,419708,341263,264428,745238,1269810,633421,364162,417631,1492493,282165,418029,188492,208924,290402,175627
2023,4,414423,357120,431269,713041,375236,980499,368630,304641,709142,288958,373864,291793,489612,358144,309535,729437,1237603,669422,385789,438544,1531068,290546,434458,196358,216990,301528,182926
