년,분기,칠곡경대병원,학정,팔거,동천,칠곡운암,구암,태전,매천,매천시장,팔달,공단,만평,팔달시장,원대,북구청,달성공원,서문시장,청라언덕3,남산,명덕3,건들바위,대봉교,수성시장,수성구민운동장,어린이세상,황금,수성못,지산,범물,용지
2017,1,113962,30407,380018,175739,368272,193693,187642,194203,80989,99284,111270,203344,181396,154858,290562,124135,604195,135447,244500,250749,116171,285389,240550,178023,111408,272561,199893,219144,367625,196936
2017,2,132519,35988,403603,201309,395418,268304,210076,209957,84158,109012,120821,208998,198735,172381,321670,147177,766166,158138,314350,301809,126329,304467,262820,192889,129912,298341,249556,241540,393855,216961
2017,3,128203,32843,390955,183614,376482,215390,189214,201769,78835,98074,118214,190514,193180,166087,299061,133534,735527,149758,269338,276998,120574,290197,248934,179435,119620,278650,212034,226618,381813,209125
2017,4,125171,32671,390748,187181,374947,259096,201238,207588,83461,103956,124161,196699,217549,162787,310646,142902,730286,155550,292148,287503,119939,291005,252588,183140,121867,275311,234209,229488,373617,208904
2018,1,112232,28617,374893,170543,352846,205216,187235,189151,77996,97312,113248,189709,210747,152437,293605,135245,637169,136896,243355,241956,111243,264640,236226,167264,104721,266464,185714,202774,350804,191788
2018,2,130056,34219,407284,202166,388535,276136,215247,216978,86108,109254,127939,206142,237256,173054,345675,174874,742896,162865,311428,298685,127269,293328,271660,185159,127111,295943,240704,232631,391138,223937
2018,3,126694,31227,386581,180425,367611,214579,190969,201986,78462,98953,122541,191459,226145,163114,311815,159275,710654,149679,273181,272762,117716,275622,258672,168949,109119,279546,209737,216180,377006,215891
2018,4,125305,33230,392939,188836,377262,247811,205305,211513,86670,111682,129606,198988,241842,163236,326725,168237,723955,159266,308151,286470,121521,277616,268107,179019,116809,289058,241127,226205,382725,218347
2019,1,118085,31922,388211,179368,364640,203202,191042,199852,85588,109849,119716,193975,235314,155691,314641,154513,678338,145750,268932,249228,115727,265796,256249,173955,106981,285688,204654,215050,368233,208613
2019,2,137889,38086,415279,205703,400823,276015,215930,219837,98381,116645,128555,207853,258762,170094,365107,179245,698988,163586,339268,301621,127977,286716,286308,188205,121208,313012,247480,243233,405592,235678
2019,3,129293,32999,410155,192855,384615,212006,198906,206926,129074,109385,121583,193208,248256,156184,334608,166447,663767,152435,292837,275234,118945,279753,273145,176151,107854,295262,225244,230038,390268,227485
2019,4,128071,33096,412453,200979,389652,254993,211067,216592,146902,112921,129305,197466,254669,156971,348687,168922,648875,162638,317306,286857,124139,271799,281456,183809,114939,296879,242730,230762,394512,230694
2020,1,108364,28357,372956,177096,340559,190761,180255,185908,137053,101722,113685,173143,224612,131756,300919,134605,519133,134142,254197,227367,108057,235447,243867,162675,96956,264464,195419,195574,344737,199394
2020,2,65065,18023,206607,104822,209429,109171,107545,113901,85847,64407,70787,93050,147290,83223,184992,85268,344545,83081,151337,127779,64544,142190,141115,91175,57536,150769,134116,112584,210671,116412
2020,3,92215,26030,309386,151961,300854,163445,149856,167769,115571,85091,94961,124742,198286,112238,266158,112505,502826,116335,243423,212237,95424,206012,202410,135612,81087,212533,168544,167679,300642,161640
2020,4,91699,26612,315747,161750,310439,196143,163884,174196,123722,88017,105351,131051,207309,113918,277080,120301,496220,122545,254306,213773,96519,210975,210212,136958,84788,221476,179914,170890,303932,166338
2021,1,79615,22220,278875,138897,268777,154797,139241,147959,111668,80521,92508,118475,182631,99912,246523,102594,414563,106788,205310,173424,85530,184894,183322,117235,71580,197359,154075,145909,267203,148420
2021,2,101460,30817,333348,170779,322051,205509,173577,181739,129033,94944,104337,134358,214685,119949,294922,125886,514494,131621,281704,234616,102608,224844,227012,139928,88853,235411,197716,182817,322661,182442
2021,3,97140,26900,313942,157798,301401,170988,157028,167734,117130,86007,98413,122896,202756,111610,277174,123069,465756,122838,250207,212140,96160,211270,210227,129580,81349,219882,172215,166526,303407,177307
2021,4,98730,29997,332615,170850,321554,203860,170004,179967,126658,91021,102193,131481,209568,114942,289100,133763,498555,136604,271954,225517,99216,225066,221147,137954,87217,233300,195321,179292,316585,184885
2022,1,88222,26537,316902,151012,297180,166742,153679,162314,118830,85420,96975,122176,190412,105140,269760,119553,428161,129360,227280,200589,93482,203057,206266,124466,77152,214849,176475,162614,287658,162901
2022,2,104693,35233,357091,181074,335707,210804,177209,186477,130274,94172,105279,135791,212714,116551,310198,140618,511293,153667,292736,242628,119100,230026,231617,139778,92002,242428,213289,183762,321478,183939
2022,3,107098,32352,362984,173223,333702,184745,169230,183826,127811,91602,106937,135385,215888,117500,304277,142746,537548,156508,265558,236965,130548,233918,236645,138748,96399,247730,195934,185352,332495,199356
2022,4,107947,35264,372324,183940,346025,228058,184022,191984,136956,96547,113955,144843,224739,119791,323358,149925,535839,165492,288148,246711,134390,238829,240971,149259,103863,257887,230711,189078,340155,204135
2023,1,100779,33055,359699,168157,329310,181457,172104,175576,135188,92321,111214,136032,210596,114387,306022,130368,502546,154852,246445,214514,128725,223266,228528,141316,95115,251006,196977,178552,321994,196472
2023,2,115685,41183,391514,200189,360074,244287,196628,196757,142325,103658,113880,146933,232852,127449,344981,155083,588932,189025,312136,259630,146099,249482,251628,153352,108951,275259,238692,198378,358258,219344
2023,3,108673,32896,376219,175797,330667,188337,173649,182024,128479,93364,108175,132366,220062,120384,310909,163771,546449,178363,267116,235456,135486,238057,240714,139195,100813,249650,203867,190889,338276,206892
2023,4,110428,34110,389400,184263,340828,225352,185901,191498,135304,98356,123054,137491,227563,145244,326648,200865,561688,192960,289042,249902,141616,246311,253323,146481,104921,253671,229159,198965,341155,209963
