년,월,설화명곡,화원,대곡,진천,월배,상인,월촌,송현,서부정류장,대명,안지랑,현충로,영대병원,교대,명덕1,반월당1,중앙로,대구역,칠성시장,신천,동대구역,동구청,아양교,동촌,해안,방촌,용계,율하,신기,반야월,각산,안심,문양,다사,대실,강창,계명대,성서산업단지,이곡,용산,죽전,감삼,두류,내당,반고개,청라언덕2,반월당2,경대병원,대구은행,범어,수성구청,만촌,담티,연호,대공원,고산,신매,사월,정평,임당,영남대,칠곡경대병원,학정,팔거,동천,칠곡운암,구암,태전,매천,매천시장,팔달,공단,만평,팔달시장,원대,북구청,달성공원,서문시장,청라언덕3,남산,명덕3,건들바위,대봉교,수성시장,수성구민운동장,어린이세상,황금,수성못,지산,범물,용지
1997,11,0,0,0,52042,22003,45814,29193,19727,60809,13544,17929,12975,18902,17571,18534,34648,156507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,12,0,0,0,191050,106584,233005,131793,106512,282019,73081,91382,69943,92152,81126,89712,148038,689260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,01,0,0,0,164212,93112,203852,107486,96989,246179,66471,80883,62669,79572,66302,78367,125064,613477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,02,0,0,0,145247,88743,197313,107783,93817,227790,64010,76248,61485,80317,65815,76135,116551,558795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,03,0,0,0,155849,95529,212187,133677,100144,241852,67478,80993,65998,100000,89530,91422,122689,563906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,04,0,0,0,147328,93840,203564,127121,95005,232913,64758,76506,64370,96610,83742,90179,119430,531619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,05,0,0,0,211038,122310,318920,165974,134059,397006,97065,125755,103403,158986,138031,194505,201437,918860,119415,181954,154679,294823,120304,164178,51728,90001,114382,54805,59441,130732,87431,15849,149742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,06,0,0,0,186372,110988,274814,152306,121877,345195,87327,110774,97687,146079,120759,180394,184457,761791,108674,166069,152226,258257,113819,142709,43075,77303,100723,46937,54068,112655,74262,14450,113807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,07,0,0,0,188705,111364,271742,147998,126385,352768,94177,112158,96427,137268,112179,166527,189815,799899,110148,154767,149087,262922,114452,139721,41994,73756,101357,43221,49563,113931,70967,13143,84341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,08,0,0,0,179239,106360,252759,134221,121770,347161,86500,106549,89258,133309,104439,155438,176741,747698,115917,146052,140561,264389,106576,130010,40068,66225,95700,37868,44714,106918,66719,11562,79073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,09,0,0,0,182971,110392,257546,148587,124570,330239,87734,105942,91203,142704,114925,171135,181172,684983,108918,149922,150162,247277,114516,138918,40078,71947,100546,45207,48386,111717,76159,12813,130390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,10,0,0,0,192808,115707,272343,148943,130891,369216,89430,110941,94406,140331,114736,170516,188053,751854,120169,157784,156512,271573,121014,148597,41956,74898,106229,46539,51051,119475,77810,12408,125409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,11,0,0,0,192701,113686,263099,153999,131655,358323,88841,108777,94145,144554,113904,175881,183914,730630,119583,152667,157865,270045,119621,146688,41292,79984,103315,47036,49565,115595,77731,11878,125123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,12,0,0,0,205122,121394,275653,154755,139502,372529,94355,116210,99177,144397,113923,174550,189940,822128,125355,156577,161522,289094,125036,146018,44118,89894,107155,47770,50882,120544,75156,11880,111309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,01,0,0,0,188595,110337,256078,135573,129379,347425,88269,106747,90473,135697,102426,154627,184020,772923,124518,141261,144856,287475,113501,131078,40388,77870,96175,38629,44425,112077,67249,10742,85515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,02,0,0,0,167349,101686,248530,127435,115801,320558,78312,96864,81390,114570,88600,132763,166192,734958,108830,132391,132976,250673,105866,125283,36664,74286,89016,37520,42136,105212,61015,10631,80232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,03,0,0,0,195792,116922,279216,164427,138095,360163,89629,109255,95719,158013,120300,175600,204718,768243,122680,154909,164856,270569,128557,151365,41227,83063,102564,50362,53188,123944,84995,13349,154056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,04,0,0,0,190458,111479,271274,154535,131582,357546,86634,107079,94717,149623,113589,167297,192236,708085,123260,149784,157536,267327,122127,149764,41107,81046,99142,45653,51101,123018,81215,12272,137485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,05,0,0,0,192150,115750,273306,155251,135594,371443,88378,109718,97031,150593,115997,172026,191170,741367,128611,151971,159683,284577,125432,151177,43689,82507,102153,46102,52635,127911,83440,12428,134719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,06,0,0,0,176930,104116,247468,141926,123419,316866,81134,100630,89128,137974,103189,154611,178686,634975,112203,136984,149485,246783,116969,133998,39117,74540,93576,42920,51251,118792,74621,12016,108338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,07,0,0,0,182697,108477,255839,141642,124686,339144,82438,102839,90075,129351,97061,147480,181906,711972,118486,136504,144303,255075,113939,132245,39315,74974,93990,41071,48894,118296,70327,11855,81135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,08,0,0,0,173855,102252,238185,125057,120148,332027,77943,98147,83035,129039,94107,139234,175820,668026,121702,128081,135349,259029,106510,122739,37817,71534,88679,36964,45168,111971,68146,10846,89754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,09,0,0,0,177060,102515,237908,132584,119242,318629,76994,94824,83184,134579,98159,146197,176125,640440,113748,133678,140240,239973,111647,125759,38162,72244,88711,43807,48185,114905,78092,11815,125041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,10,0,0,0,189979,112575,263037,147200,128931,351707,86570,103215,91723,142173,107560,158626,192374,684493,122498,143739,152431,265825,121156,140897,39458,78167,96905,48371,52525,125725,82683,13045,129599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,11,0,0,0,185191,108512,257639,139654,127996,331074,83438,101314,89148,143079,102438,159384,180447,669092,118936,136742,148207,256481,115403,135642,39829,75376,94467,48342,51410,120563,77532,12371,128778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
