분기,2017-1분기,2017-2분기,2017-3분기,2017-4분기,2018-1분기,2018-2분기,2018-3분기,2018-4분기,2019-1분기,2019-2분기,2019-3분기,2019-4분기,2020-1분기,2020-2분기,2020-3분기,2020-4분기,2021-1분기,2021-2분기,2021-3분기,2021-4분기,2022-1분기,2022-2분기,2022-3분기,2022-4분기,2023-1분기,2023-2분기,2023-3분기,
문양,264067,284772,284102,271842,228887,276231,291212,269700,239268,290477,287737,276829,231338,158586,217520,221608,169342,230465,212942,227709,186903,236168,245431,237223,214257,255066,246517,219937
다사,223424,216789,206474,220720,201468,218653,208360,213417,206812,250420,239918,249017,217588,128542,184386,193961,161985,204287,191462,215060,200430,229492,243601,259536,251117,295270,298113,300888
대실,607714,648381,599161,615535,587378,656102,608650,633086,609765,669426,639259,657582,572528,318518,474005,496915,418481,522933,485961,515456,474295,542012,545466,564480,546700,606608,568328,567561
강창,380521,498494,386702,470720,381186,499644,381545,461503,360002,634683,626199,710544,548245,323082,454715,476228,411637,515850,472500,541277,457440,609597,511670,598262,502631,647515,528986,512110
계명대,664999,880987,617902,788028,610349,875740,607544,790804,603678,852556,609465,771814,541334,295979,432467,500090,402667,562809,448376,578789,461114,705127,486225,639417,491717,699860,494971,503807
성서산업단지,545809,569219,521701,538387,518193,570553,512355,537587,523246,562024,525019,537327,478305,286217,384795,397148,356508,417248,382138,405728,387830,431918,427936,441166,434845,470526,429685,428135
이곡,430669,455264,408371,425867,389137,450129,399804,425765,397676,451755,408322,421715,367656,218818,309661,318826,279006,342749,310935,329636,304862,347545,332413,348338,329967,370701,327650,325668
용산,811411,887355,803299,853360,744588,865886,796023,853452,753520,861793,805585,843084,681857,354505,533856,549092,465115,571741,525945,563831,512192,602227,612937,649200,598054,694424,630200,597858
죽전,543145,569774,510530,528598,494363,557397,491194,526153,511579,552949,520569,534042,477740,277258,387967,397910,359102,415073,382290,406472,386426,448845,438881,471275,481358,530261,490497,531952
감삼,674464,756162,709578,715933,654319,755437,689331,716155,668158,762722,706857,719605,614965,363112,533363,548320,473243,588043,545141,572132,524452,602898,589439,607044,574828,658936,594259,580160
두류,819034,904753,778478,768938,716512,845242,744633,764311,723096,859881,771245,760039,647833,368368,517683,527739,454169,567784,508595,566488,510185,605163,585273,593481,554018,636290,565889,557979
내당,422998,456308,413845,424740,403703,460979,407791,425041,407431,456351,416493,444485,407246,242279,324118,333952,297887,348357,330957,352866,331943,363150,361709,380435,369758,410180,374881,372179
반고개,387801,436292,392285,396618,358241,417637,369368,390386,368340,424474,382334,400606,349342,206727,288649,295311,258262,318843,294659,331229,299780,337910,338177,357155,341146,393963,348799,338353
청라언덕2,518026,569621,503741,545868,477837,569761,493967,544042,497759,553495,479990,497687,412437,256357,362965,383966,326348,404625,356345,417770,386307,442845,418258,446492,420987,505112,442274,447704
반월당2,2515935,2481854,2366061,2312243,2410004,2508074,2401444,2371672,2508329,2542525,2471689,2345191,2172272,1040454,1633473,1620505,1487923,1707519,1569475,1654354,1622115,1747313,1852349,1831556,1948612,1994321,1935362,2037953
경대병원,588579,626179,569226,580121,552714,643721,585410,609645,592133,664157,603076,616992,543726,308621,455628,462716,421967,508531,483840,495223,472932,534480,528602,549211,542348,610748,562595,564775
대구은행,586228,624476,562380,585512,518651,604532,532751,564910,525556,608461,544029,576559,493017,270586,405178,425621,377582,456145,427056,455945,421096,495465,469526,507141,473313,547616,485538,489242
범어,739043,750032,695303,711052,689908,747295,672940,684962,684765,751184,700338,714645,647869,357000,533019,543210,507095,597169,558855,568120,543439,598929,596758,622829,617731,675601,623110,637606
수성구청,443792,467135,434308,443473,399101,460709,432270,435904,414011,475430,450073,457938,400188,215146,333841,352079,320615,378703,363416,380985,362332,406464,403113,415299,422974,467867,433138,430653
만촌,379047,428797,374973,396539,352187,421072,364723,394483,357047,416328,368961,391461,327482,168941,264054,281112,242213,297564,266596,287032,263481,311461,299940,320430,304143,353422,315046,311383
담티,279982,370252,299402,329619,268767,361626,286876,324769,262457,355105,284261,321366,245985,119902,210817,236156,183494,269960,226921,255887,212242,285787,251263,287541,243623,318974,261668,249434
연호,64086,77307,70349,72463,63378,76754,65504,71045,65354,81088,70582,75723,62932,35816,52833,54277,44862,60363,54827,58766,50854,62786,58606,61525,54125,67722,57500,54110
대공원,73362,151366,169547,101365,50103,157967,145087,107000,49886,153196,135276,79310,50000,30871,50926,54366,40813,83337,69865,89417,47392,135525,139364,132440,57886,178766,170616,59659
고산,215457,239607,214416,224061,206694,243697,218629,229701,214759,260068,242152,255771,222066,121925,184485,193385,167475,208078,191326,210383,192747,227931,223951,234229,221110,255833,226224,219623
신매,623159,657972,606325,621694,560295,635847,570765,595088,567273,637860,582264,613520,532749,277101,419651,434510,381301,464312,425655,461638,422418,493937,489364,524393,492428,550072,492960,486620
사월,415217,440563,389848,416279,389618,457083,401948,427892,406969,458523,414053,439551,379740,188210,293237,307892,272834,330295,304212,328654,307722,353803,344799,362797,345628,387368,339217,354945
정평,413680,428620,395043,405511,373773,420341,394248,400500,395997,446324,413767,431554,377234,211038,306511,320193,290767,359955,352544,378499,350062,405315,396971,415451,396205,434450,389607,389391
임당,262826,285546,261564,274758,244150,289934,264596,280540,265421,336368,308856,335342,282764,149511,232825,253167,212459,271326,246450,275311,249133,287845,274448,300405,278934,318658,286027,284782
영남대,751345,1169477,756540,1026697,664272,1154100,714486,1015745,672662,1143489,696615,1009691,607830,296610,448240,553206,394598,640521,473216,598458,469967,920893,561027,851115,546947,962842,576906,558817
